chr	start	end	strand	symbol	id
11	90476492	90638084	-	Stxbp4	ENSMUSG00000020546
10	9755547	9901079	-	Stxbp5	ENSMUSG00000019790
16	37114942	37384962	-	Stxbp5l	ENSMUSG00000022829
12	44852484	45074709	-	Stxbp6	ENSMUSG00000046314
6	131299142	131353597	-	Styk1	ENSMUSG00000032899
14	45351093	45422820	+	Styx	ENSMUSG00000053205
5	135747220	135778385	-	Styxl1	ENSMUSG00000019178
15	11981339	11996983	-	Sub1	ENSMUSG00000022205
14	73525319	73596142	+	Sucla2	ENSMUSG00000022110
6	73248382	73276911	+	Suclg1	ENSMUSG00000052738
6	95473009	95718800	-	Suclg2	ENSMUSG00000061838
3	60081869	60087566	+	Sucnr1	ENSMUSG00000027762
1	161816114	161876682	-	Suco	ENSMUSG00000040297
5	117091680	117116113	-	Suds3	ENSMUSG00000066900
19	46396896	46488804	+	Sufu	ENSMUSG00000025231
13	16857472	17695553	-	Sugct	ENSMUSG00000055137
8	70042813	70072347	+	Sugp1	ENSMUSG00000011306
8	70234226	70279915	+	Sugp2	ENSMUSG00000036054
14	79587691	79635196	+	Sugt1	ENSMUSG00000022024
1	12692277	12861192	+	Sulf1	ENSMUSG00000016918
2	166073089	166155663	-	Sulf2	ENSMUSG00000006800
7	126672865	126676432	-	Sult1a1	ENSMUSG00000030711
5	87513339	87538195	-	Sult1b1	ENSMUSG00000029269
17	53961615	53990674	-	Sult1c1	ENSMUSG00000023943
17	53829637	53846339	-	Sult1c2	ENSMUSG00000023122
17	53874990	53875550	-	Sult1c2-ps1	ENSMUSG00000105732
17	53802860	53803479	+	Sult1c2-ps2	ENSMUSG00000105885
5	87554645	87569027	-	Sult1d1	ENSMUSG00000029273
5	87575969	87591594	-	Sult1e1	ENSMUSG00000029272
7	13796246	13837409	-	Sult2a1	ENSMUSG00000078798
7	13733505	13779636	+	Sult2a2	ENSMUSG00000070811
7	14067446	14123044	-	Sult2a3	ENSMUSG00000074375
7	13909676	13989607	-	Sult2a4	ENSMUSG00000074377
7	13623967	13670807	+	Sult2a5	ENSMUSG00000078799
7	14222403	14254870	-	Sult2a6	ENSMUSG00000070810
7	14465051	14494230	-	Sult2a7	ENSMUSG00000094156
7	14410686	14446769	-	Sult2a8	ENSMUSG00000030378
7	13721079	13722465	-	Sult2a-ps1	ENSMUSG00000082586
7	13846161	13847616	+	Sult2a-ps2	ENSMUSG00000081982
7	14135422	14141004	-	Sult2a-ps3	ENSMUSG00000084102
7	14171636	14193524	-	Sult2a-ps4	ENSMUSG00000080705
7	45729983	45784669	-	Sult2b1	ENSMUSG00000003271
10	33857721	33879532	+	Sult3a1	ENSMUSG00000069668
10	33766424	33786704	-	Sult3a2	ENSMUSG00000090298
15	84076097	84105754	-	Sult4a1	ENSMUSG00000018865
8	123140192	123158315	-	Sult5a1	ENSMUSG00000000739
17	78883938	78906992	-	Sult6b1	ENSMUSG00000038045
6	142785204	142804502	-	Sult6b2	ENSMUSG00000048473
6	108107028	108185582	-	Sumf1	ENSMUSG00000030101
5	129846986	129864050	+	Sumf2	ENSMUSG00000025538
1	59586558	59670834	-	Sumo1	ENSMUSG00000026021
11	115523102	115536276	-	Sumo2	ENSMUSG00000020738
10	77606097	77618331	+	Sumo3	ENSMUSG00000020265
5	139200637	139249840	+	Sun1	ENSMUSG00000036817
15	79724070	79742536	-	Sun2	ENSMUSG00000042524
11	9016054	9048991	-	Sun3	ENSMUSG00000040985
2	153856188	153871084	-	Sun5	ENSMUSG00000027480
10	128669894	128674073	-	Suox	ENSMUSG00000049858
14	52160414	52197416	-	Supt16	ENSMUSG00000035726
3	54692807	54728766	+	Supt20	ENSMUSG00000027751
X	93920295	93921962	-	Supt20-ps	ENSMUSG00000082728
17	44777152	45119290	+	Supt3	ENSMUSG00000038954
11	87737552	87743623	+	Supt4a	ENSMUSG00000020485
10	31413815	31414165	-	Supt4b	ENSMUSG00000110960
7	28314891	28338746	-	Supt5	ENSMUSG00000003435
11	78206746	78245987	-	Supt6	ENSMUSG00000002052
5	31514564	31527807	-	Supt7l	ENSMUSG00000053134
10	62429209	62449738	-	Supv3l1	ENSMUSG00000020079
2	26913381	26916530	-	Surf1	ENSMUSG00000015790
2	26916367	26920183	+	Surf2	ENSMUSG00000014873
2	26920040	26933928	-	Surf4	ENSMUSG00000014867
2	26888628	26902879	-	Surf6	ENSMUSG00000036160
4	59314683	59438633	-	Susd1	ENSMUSG00000038578
10	75636706	75644008	-	Susd2	ENSMUSG00000006342
13	49230690	49248706	-	Susd3	ENSMUSG00000021384
1	182763860	182896591	+	Susd4	ENSMUSG00000038576
9	114057140	114098728	+	Susd5	ENSMUSG00000086596
12	80790510	80880835	+	Susd6	ENSMUSG00000021133
X	8061171	8074760	-	Suv39h1	ENSMUSG00000039231
2	3455815	3475031	-	Suv39h2	ENSMUSG00000026646
11	79993106	80034123	+	Suz12	ENSMUSG00000017548
3	96181151	96195521	+	Sv2a	ENSMUSG00000038486
7	75114894	75309262	-	Sv2b	ENSMUSG00000053025
13	95954594	96132577	-	Sv2c	ENSMUSG00000051111
6	42038394	42042851	+	Sva	ENSMUSG00000023289
6	41951630	41956098	+	Sval1	ENSMUSG00000029865
6	41852989	41864413	+	Sval2	ENSMUSG00000014104
6	41968140	41973090	+	Sval3	ENSMUSG00000062833
4	119195306	119201298	+	Svbp	ENSMUSG00000028643
4	58042442	58206859	-	Svep1	ENSMUSG00000028369
8	29108837	29112776	-	Svet1	ENSMUSG00000109648
18	4920540	5119299	+	Svil	ENSMUSG00000024236
7	51997171	52006018	-	Svip	ENSMUSG00000074093
5	114026910	114091570	-	Svop	ENSMUSG00000042078
6	37983739	38046996	-	Svopl	ENSMUSG00000029830
6	48986861	48991722	+	Svs1	ENSMUSG00000039215
2	164235929	164238466	-	Svs2	ENSMUSG00000040132
2	164289268	164291500	+	Svs3a	ENSMUSG00000017003
2	164254363	164256640	-	Svs3b	ENSMUSG00000050383
2	164275952	164278459	-	Svs4	ENSMUSG00000016998
2	164332740	164334396	+	Svs5	ENSMUSG00000017004
2	164316751	164318453	+	Svs6	ENSMUSG00000017000
7	110221711	110283506	+	Swap70	ENSMUSG00000031015
2	32278816	32288075	-	Swi5	ENSMUSG00000044627
9	21955755	21958264	+	Swsap1	ENSMUSG00000051238
1	151367699	151428455	-	Swt1	ENSMUSG00000052748
X	162857057	162888447	-	Syap1	ENSMUSG00000031357
15	44671856	44788063	-	Sybu	ENSMUSG00000022340
7	140777229	140787852	-	Syce1	ENSMUSG00000025480
8	113643213	113655533	+	Syce1l	ENSMUSG00000033409
8	84872111	84888221	+	Syce2	ENSMUSG00000003824
15	89390174	89410503	-	Syce3	ENSMUSG00000078938
7	28540885	28542209	+	Sycn	ENSMUSG00000084174
3	102818499	102936100	-	Sycp1	ENSMUSG00000027855
7	18786332	18789099	+	Sycp1-ps1	ENSMUSG00000109116
2	178345293	178407685	-	Sycp2	ENSMUSG00000060445
13	41114307	41174351	+	Sycp2l	ENSMUSG00000038651
10	88459569	88473236	+	Sycp3	ENSMUSG00000020059
10	78584503	78591964	-	Syde1	ENSMUSG00000032714
3	145987870	146021720	+	Syde2	ENSMUSG00000036863
4	134930898	134937548	+	Syf2	ENSMUSG00000028821
13	52583173	52648792	+	Syk	ENSMUSG00000021457
7	19024377	19054618	+	Sympk	ENSMUSG00000023118
X	20860511	20921004	-	Syn1	ENSMUSG00000037217
6	115134902	115282006	+	Syn2	ENSMUSG00000009394
10	86055125	86498896	-	Syn3	ENSMUSG00000059602
5	134558146	134560171	-	Syna	ENSMUSG00000085957
14	69289344	69294299	-	Synb	ENSMUSG00000047977
4	129287617	129308559	+	Sync	ENSMUSG00000001333
9	88447009	88482574	-	Syncrip	ENSMUSG00000032423
2	149829211	150004392	+	Syndig1	ENSMUSG00000074736
12	84677277	84698831	-	Syndig1l	ENSMUSG00000071234
10	5020917	5551482	-	Syne1	ENSMUSG00000096054
12	75818134	76110926	+	Syne2	ENSMUSG00000063450
12	104929933	105009809	-	Syne3	ENSMUSG00000054150
7	30314807	30319046	+	Syne4	ENSMUSG00000019737
17	26941253	26972434	+	Syngap1	ENSMUSG00000067629
15	80091334	80119501	+	Syngr1	ENSMUSG00000022415
11	117809668	117814283	+	Syngr2	ENSMUSG00000048277
17	24685092	24689955	-	Syngr3	ENSMUSG00000007021
7	45885222	45896714	-	Syngr4	ENSMUSG00000040231
16	90936092	91011308	-	Synj1	ENSMUSG00000022973
12	81497941	81532911	-	Synj2bp	ENSMUSG00000090935
17	5941280	6044290	+	Synj2	ENSMUSG00000023805
7	67730160	67759742	-	Synm	ENSMUSG00000030554
3	123076519	123236149	-	Synpo2	ENSMUSG00000050315
14	20658946	20668354	-	Synpo2l	ENSMUSG00000039376
18	60593973	60660142	-	Synpo	ENSMUSG00000043079
14	13284780	13616340	+	Synpr	ENSMUSG00000056296
11	83964428	84044578	+	Synrg	ENSMUSG00000034940
X	7638471	7653256	+	Syp	ENSMUSG00000031144
3	108211472	108226648	-	Sypl2	ENSMUSG00000027887
12	32953891	32979860	+	Sypl	ENSMUSG00000020570
2	164456964	164479638	+	Sys1	ENSMUSG00000045503
15	89782393	89841860	-	Syt10	ENSMUSG00000063260
3	88744700	88775164	-	Syt11	ENSMUSG00000068923
19	4445908	4477447	-	Syt12	ENSMUSG00000049303
2	92915098	92956058	+	Syt13	ENSMUSG00000027220
1	192891233	193035775	-	Syt14	ENSMUSG00000016200
14	34219595	34230420	+	Syt15	ENSMUSG00000041479
12	73997661	74273267	+	Syt16	ENSMUSG00000044912
7	118380717	118448222	-	Syt17	ENSMUSG00000058420
10	108497650	109010982	-	Syt1	ENSMUSG00000035864
1	134646677	134762593	+	Syt2	ENSMUSG00000026452
7	44384102	44400187	+	Syt3	ENSMUSG00000030731
18	31437808	31447406	-	Syt4	ENSMUSG00000024261
7	4539765	4547541	-	Syt5	ENSMUSG00000004961
3	103575231	103645569	+	Syt6	ENSMUSG00000027849
19	10389090	10453180	+	Syt7	ENSMUSG00000024743
7	142434850	142440396	+	Syt8	ENSMUSG00000031098
7	107370728	107548656	+	Syt9	ENSMUSG00000062542
4	133253090	133263113	-	Sytl1	ENSMUSG00000028860
7	90302252	90410719	+	Sytl2	ENSMUSG00000030616
17	6659093	6738044	+	Sytl3	ENSMUSG00000041831
X	133936385	133981812	-	Sytl4	ENSMUSG00000031255
X	9885622	9994543	+	Sytl5	ENSMUSG00000054453
19	6046576	6053712	+	Syvn1	ENSMUSG00000024807
4	141113001	141139775	-	Szrd1	ENSMUSG00000040842
4	118362743	118409273	-	Szt2	ENSMUSG00000033253
17	8355992	8423513	+	T2	ENSMUSG00000058159
10	23920356	23921469	+	Taar1	ENSMUSG00000056379
10	23938572	23941583	+	Taar2	ENSMUSG00000059763
10	23949558	23950589	+	Taar3	ENSMUSG00000069708
10	23960494	23961537	+	Taar4	ENSMUSG00000069707
10	23970706	23971719	+	Taar5	ENSMUSG00000069706
10	23984609	23985646	-	Taar6	ENSMUSG00000045111
10	23992405	23993481	-	Taar7a	ENSMUSG00000095647
10	23999939	24001015	+	Taar7b	ENSMUSG00000095171
10	24013470	24014524	+	Taar7c-ps	ENSMUSG00000084182
10	24027222	24028298	+	Taar7d	ENSMUSG00000095569
10	24037614	24038690	+	Taar7e	ENSMUSG00000100689
10	24049510	24050586	+	Taar7f	ENSMUSG00000100950
10	24076500	24077534	+	Taar8a	ENSMUSG00000096442
10	24091260	24092294	-	Taar8b	ENSMUSG00000100186
10	24100878	24101912	-	Taar8c	ENSMUSG00000100004
10	24108488	24109534	-	Taar9	ENSMUSG00000037424
15	80133127	80161707	+	Tab1	ENSMUSG00000022414
10	7905653	7956230	-	Tab2	ENSMUSG00000015755
X	85574022	85634469	+	Tab3	ENSMUSG00000035476
6	7554879	7565834	+	Tac1	ENSMUSG00000061762
10	127724478	127731768	+	Tac2	ENSMUSG00000025400
11	95261529	95269265	+	Tac4	ENSMUSG00000020872
8	25154552	25256588	-	Tacc1	ENSMUSG00000065954
7	130577438	130764785	+	Tacc2	ENSMUSG00000030852
5	33658128	33678995	+	Tacc3	ENSMUSG00000037313
11	106066061	106073612	+	Taco1	ENSMUSG00000001983
11	106065077	106066305	-	Taco1os	ENSMUSG00000085255
6	82402334	82560104	+	Tacr1	ENSMUSG00000030043
10	62252438	62265990	+	Tacr2	ENSMUSG00000020081
3	134829007	134934579	+	Tacr3	ENSMUSG00000028172
6	67534062	67535796	-	Tacstd2	ENSMUSG00000051397
1	166379097	166393621	+	Tada1	ENSMUSG00000026563
11	84078920	84129600	-	Tada2a	ENSMUSG00000018651
5	36473670	36484285	-	Tada2b	ENSMUSG00000029196
6	113366025	113377883	-	Tada3	ENSMUSG00000048930
7	105739393	105744361	-	Taf10	ENSMUSG00000043866
17	27901122	27909844	-	Taf11	ENSMUSG00000024218
4	132274375	132295766	+	Taf12	ENSMUSG00000028899
3	108571698	108583222	+	Taf13	ENSMUSG00000048100
11	83473086	83506743	+	Taf15	ENSMUSG00000020680
1	183388981	183410198	+	Taf1a	ENSMUSG00000072258
12	24498359	24558539	+	Taf1b	ENSMUSG00000059669
8	119597871	119605222	-	Taf1c	ENSMUSG00000031832
9	15306214	15316991	+	Taf1d	ENSMUSG00000031939
X	101532734	101601789	+	Taf1	ENSMUSG00000031314
15	55015131	55072152	-	Taf2	ENSMUSG00000037343
2	9914552	10048596	-	Taf3	ENSMUSG00000025782
18	14783245	14900359	+	Taf4b	ENSMUSG00000054321
2	179912152	179976646	-	Taf4	ENSMUSG00000039117
19	47067746	47083479	+	Taf5	ENSMUSG00000025049
8	123996318	124021397	-	Taf5l	ENSMUSG00000038697
5	138178617	138187451	-	Taf6	ENSMUSG00000036980
19	8774487	8786417	-	Taf6l	ENSMUSG00000003680
18	37640491	37644204	-	Taf7	ENSMUSG00000051316
X	134460118	134476490	-	Taf7l	ENSMUSG00000009596
17	47483364	47502292	-	Taf8	ENSMUSG00000023980
X	106206883	106221158	-	Taf9b	ENSMUSG00000047242
13	100651579	100656060	+	Taf9	ENSMUSG00000052293
17	6955011	6961156	-	Tagap1	ENSMUSG00000052031
17	7926000	7934897	+	Tagap	ENSMUSG00000033450
1	172500047	172507380	+	Tagln2	ENSMUSG00000026547
16	45711230	45724608	-	Tagln3	ENSMUSG00000022658
9	45929619	45936058	-	Tagln	ENSMUSG00000032085
4	115056426	115071755	+	Tal1	ENSMUSG00000028717
4	53779705	53788712	+	Tal2	ENSMUSG00000028417
7	141392199	141402968	+	Taldo1	ENSMUSG00000025503
6	115004381	115037876	-	Tamm41	ENSMUSG00000030316
2	59612042	59846149	+	Tanc1	ENSMUSG00000035168
11	105589986	105929304	+	Tanc2	ENSMUSG00000053580
16	18300825	18348103	-	Tango2	ENSMUSG00000013539
8	106683068	106851439	+	Tango6	ENSMUSG00000041949
2	61578585	61654171	+	Tank	ENSMUSG00000064289
11	77529162	77607815	-	Taok1	ENSMUSG00000017291
7	126865678	126884703	-	Taok2	ENSMUSG00000059981
5	117120129	117275219	+	Taok3	ENSMUSG00000061288
17	34187553	34197225	+	Tap1	ENSMUSG00000037321
17	34203527	34216321	+	Tap2	ENSMUSG00000024339
17	33915899	33929292	+	Tapbp	ENSMUSG00000024308
6	125223933	125231860	-	Tapbpl	ENSMUSG00000038213
5	44175154	44226626	-	Tapt1	ENSMUSG00000046985
8	126425329	126475065	-	Tarbp1	ENSMUSG00000090290
15	102518192	102523676	+	Tarbp2	ENSMUSG00000023051
4	148612382	148627019	-	Tardbp	ENSMUSG00000041459
7	3486500	3502624	-	Tarm1	ENSMUSG00000053338
3	95739976	95760206	-	Tars2	ENSMUSG00000028107
15	11382301	11399665	-	Tars	ENSMUSG00000022241
7	65644898	65692091	+	Tarsl2	ENSMUSG00000030515
4	152027914	152038568	-	Tas1r1	ENSMUSG00000028950
4	139653538	139670280	+	Tas1r2	ENSMUSG00000028738
4	155859268	155863362	-	Tas1r3	ENSMUSG00000029072
6	132762131	132763174	+	Tas2r102	ENSMUSG00000056901
6	133036163	133037101	-	Tas2r103	ENSMUSG00000030196
6	131684836	131685744	-	Tas2r104	ENSMUSG00000061977
6	131686532	131687495	-	Tas2r105	ENSMUSG00000051153
6	131677960	131678886	-	Tas2r106	ENSMUSG00000057754
6	131659118	131660149	-	Tas2r107	ENSMUSG00000053389
6	40493529	40494541	+	Tas2r108	ENSMUSG00000037140
6	132980015	132980965	-	Tas2r109	ENSMUSG00000062528
6	132868008	132869009	+	Tas2r110	ENSMUSG00000062952
6	132820318	132821218	+	Tas2r111-ps2	ENSMUSG00000108250
6	132893011	132893940	+	Tas2r113	ENSMUSG00000056926
6	131689134	131690063	-	Tas2r114	ENSMUSG00000063478
6	132737003	132738035	-	Tas2r115	ENSMUSG00000071149
6	132855438	132856355	+	Tas2r116	ENSMUSG00000030194
6	132802818	132803975	+	Tas2r117	ENSMUSG00000058349
6	23969161	23970060	-	Tas2r118	ENSMUSG00000043865
15	32177289	32178294	+	Tas2r119	ENSMUSG00000045267
6	132656953	132657844	+	Tas2r120	ENSMUSG00000059382
6	132700090	132701007	-	Tas2r121	ENSMUSG00000071150
6	132710999	132711928	-	Tas2r122	ENSMUSG00000078280
6	132847142	132848143	+	Tas2r123	ENSMUSG00000057381
6	132754730	132755659	+	Tas2r124	ENSMUSG00000060412
6	132909651	132910587	+	Tas2r125	ENSMUSG00000059410
6	42434535	42435464	+	Tas2r126	ENSMUSG00000048284
6	132951102	132952066	+	Tas2r129	ENSMUSG00000063762
6	131629823	131630912	-	Tas2r130	ENSMUSG00000054497
6	132956884	132957919	-	Tas2r131	ENSMUSG00000057699
2	51627511	51628408	+	Tas2r134	ENSMUSG00000056115
6	42405434	42406526	+	Tas2r135	ENSMUSG00000056203
6	132777179	132778162	-	Tas2r136	ENSMUSG00000053217
6	40491233	40492305	+	Tas2r137	ENSMUSG00000052850
6	40612315	40613310	-	Tas2r138	ENSMUSG00000058250
6	42140936	42141895	+	Tas2r139	ENSMUSG00000047102
6	133054817	133055816	-	Tas2r140	ENSMUSG00000071147
6	133095070	133096015	-	Tas2r141-ps4	ENSMUSG00000107642
6	132901963	132902891	+	Tas2r142-ps5	ENSMUSG00000107594
6	42400238	42401119	+	Tas2r143	ENSMUSG00000046652
6	42215328	42216287	+	Tas2r144	ENSMUSG00000051917
6	132786736	132787727	+	Tas2r145-ps3	ENSMUSG00000107592
6	132933967	132934900	+	Tas2r146-ps1	ENSMUSG00000108261
2	139833480	140066805	-	Tasp1	ENSMUSG00000039033
15	58890155	58933738	-	Tatdn1	ENSMUSG00000050891
6	113697050	113711069	+	Tatdn2	ENSMUSG00000056952
1	191045826	191062932	-	Tatdn3	ENSMUSG00000026632
8	109990437	109999803	+	Tat	ENSMUSG00000001670
6	52713729	52766780	+	Tax1bp1	ENSMUSG00000004535
11	73177083	73183162	+	Tax1bp3	ENSMUSG00000040158
X	74281912	74290151	+	Taz	ENSMUSG00000009995
10	61171954	61188841	+	Tbata	ENSMUSG00000020096
11	4186789	4215505	+	Tbc1d10a	ENSMUSG00000034412
7	127197459	127208468	-	Tbc1d10b	ENSMUSG00000042492
19	4183411	4191284	-	Tbc1d10c	ENSMUSG00000040247
19	38836579	38919923	+	Tbc1d12	ENSMUSG00000048720
2	30133746	30152013	+	Tbc1d13	ENSMUSG00000039678
5	36490604	36593276	-	Tbc1d14	ENSMUSG00000029192
10	115197872	115251467	-	Tbc1d15	ENSMUSG00000020130
11	119143045	119228499	-	Tbc1d16	ENSMUSG00000039976
7	44834623	44849079	-	Tbc1d17	ENSMUSG00000038520
5	53809606	53903965	+	Tbc1d19	ENSMUSG00000039178
5	64156305	64351486	+	Tbc1d1	ENSMUSG00000029174
2	152293828	152313996	+	Tbc1d20	ENSMUSG00000027465
9	58359704	58370455	-	Tbc1d21	ENSMUSG00000036244
15	86214459	86498503	+	Tbc1d22a	ENSMUSG00000051864
17	29549785	29606898	+	Tbc1d22b	ENSMUSG00000042203
17	29578816	29596305	-	Tbc1d22bos	ENSMUSG00000089900
16	57168862	57231504	-	Tbc1d23	ENSMUSG00000022749
17	24175431	24205562	-	Tbc1d24	ENSMUSG00000036473
X	8154472	8176181	-	Tbc1d25	ENSMUSG00000039201
9	90202027	90270804	-	Tbc1d2b	ENSMUSG00000037410
4	46604390	46650209	-	Tbc1d2	ENSMUSG00000039813
10	121263820	121351278	-	Tbc1d30	ENSMUSG00000052302
15	57912199	57970067	+	Tbc1d31	ENSMUSG00000022364
10	56014293	56228689	-	Tbc1d32	ENSMUSG00000038122
14	101442360	101609191	-	Tbc1d4	ENSMUSG00000033083
17	50733124	51179352	-	Tbc1d5	ENSMUSG00000023923
13	43151740	43171501	-	Tbc1d7	ENSMUSG00000021368
X	139684996	139753405	+	Tbc1d8b	ENSMUSG00000042473
1	39371492	39478755	-	Tbc1d8	ENSMUSG00000003134
11	50131396	50172785	+	Tbc1d9b	ENSMUSG00000036644
8	83165352	83272934	+	Tbc1d9	ENSMUSG00000031709
13	94788910	94842922	+	Tbca	ENSMUSG00000042043
7	30224131	30232272	-	Tbcb	ENSMUSG00000006095
16	22813214	22857669	-	Tbccd1	ENSMUSG00000004462
17	46890684	46891847	+	Tbcc	ENSMUSG00000036430
11	121451949	121617164	+	Tbcd	ENSMUSG00000039230
13	13997949	14039638	-	Tbce	ENSMUSG00000039233
9	42412316	42507809	-	Tbcel	ENSMUSG00000037287
3	132684144	132841688	+	Tbck	ENSMUSG00000028030
10	121546455	121586787	-	Tbk1	ENSMUSG00000020115
11	97136171	97151495	-	Tbkbp1	ENSMUSG00000038517
X	77511013	77662983	+	Tbl1x	ENSMUSG00000025246
3	22076652	22216594	+	Tbl1xr1	ENSMUSG00000027630
5	135149657	135165760	+	Tbl2	ENSMUSG00000005374
17	24697949	24707660	-	Tbl3	ENSMUSG00000040688
17	15499888	15528379	+	Tbp	ENSMUSG00000014767
10	22703879	22731938	-	Tbpl1	ENSMUSG00000071359
2	24071721	24096595	-	Tbpl2	ENSMUSG00000061809
2	61802930	61814114	+	Tbr1	ENSMUSG00000035033
9	37648763	37657312	-	Tbrg1	ENSMUSG00000011114
11	6615598	6626067	-	Tbrg4	ENSMUSG00000000384
19	3992752	3999512	+	Tbx10	ENSMUSG00000037477
3	99240381	99354259	+	Tbx15	ENSMUSG00000027868
9	87702800	87731260	-	Tbx18	ENSMUSG00000032419
1	165137855	165160773	-	Tbx19	ENSMUSG00000026572
16	18580979	18590671	-	Tbx1	ENSMUSG00000009097
9	24718138	24774303	-	Tbx20	ENSMUSG00000031965
11	97098071	97115331	-	Tbx21	ENSMUSG00000001444
X	107667964	107688978	+	Tbx22	ENSMUSG00000031241
11	85832551	85841948	+	Tbx2	ENSMUSG00000000093
5	119670669	119684724	+	Tbx3	ENSMUSG00000018604
5	119570130	119671365	-	Tbx3os1	ENSMUSG00000087516
5	119685095	119691218	-	Tbx3os2	ENSMUSG00000086847
11	85886422	85916097	+	Tbx4	ENSMUSG00000000094
5	119832668	119885219	+	Tbx5	ENSMUSG00000018263
7	126781483	126785560	+	Tbx6	ENSMUSG00000030699
10	81328731	81335172	+	Tbxa2r	ENSMUSG00000034881
6	38875404	39084585	+	Tbxas1	ENSMUSG00000029925
12	101645443	101718523	-	Tc2n	ENSMUSG00000021187
6	42668002	42710088	-	Tcaf1	ENSMUSG00000036667
6	42623016	42645254	-	Tcaf2	ENSMUSG00000029851
6	42584866	42597692	-	Tcaf3	ENSMUSG00000018656
9	122805539	122836334	+	Tcaim	ENSMUSG00000046603
11	106276672	106288745	+	Tcam1	ENSMUSG00000020712
11	98383811	98384953	+	Tcap	ENSMUSG00000007877
1	4857814	4897909	+	Tcea1	ENSMUSG00000033813
15	90882615	90883518	+	Tcea1-ps1	ENSMUSG00000067869
2	181680310	181688071	+	Tcea2	ENSMUSG00000059540
4	136247729	136274898	+	Tcea3	ENSMUSG00000001604
X	136707982	136711478	+	Tceal1	ENSMUSG00000049536
X	136590842	136668378	+	Tceal3	ENSMUSG00000044550
X	136200948	136203876	-	Tceal5	ENSMUSG00000054034
X	135208687	135210687	-	Tceal6	ENSMUSG00000031409
X	136214779	136226100	+	Tceal7	ENSMUSG00000079428
X	136168984	136172342	-	Tceal8	ENSMUSG00000051579
X	136245079	136247139	+	Tceal9	ENSMUSG00000042712
4	107134155	107179116	-	Tceanc2	ENSMUSG00000028619
X	166499812	166518567	-	Tceanc	ENSMUSG00000051224
18	42511487	42575793	+	Tcerg1	ENSMUSG00000024498
7	138208974	138397730	-	Tcerg1l	ENSMUSG00000091002
9	71842688	72111871	-	Tcf12	ENSMUSG00000032228
2	152143561	152149097	+	Tcf15	ENSMUSG00000068079
17	35512734	35516824	-	Tcf19	ENSMUSG00000050410
15	82808436	82987872	-	Tcf20	ENSMUSG00000041852
10	22817281	22820174	-	Tcf21	ENSMUSG00000045680
5	30968662	30977018	+	Tcf23	ENSMUSG00000006642
1	9960163	9967932	-	Tcf24	ENSMUSG00000099032
8	123373753	123403835	+	Tcf25	ENSMUSG00000001472
10	80409514	80433647	-	Tcf3	ENSMUSG00000020167
18	69343356	69689079	+	Tcf4	ENSMUSG00000053477
11	52252371	52283014	-	Tcf7	ENSMUSG00000000782
6	72626378	72789254	-	Tcf7l1	ENSMUSG00000055799
19	55741820	55933654	+	Tcf7l2	ENSMUSG00000024985
2	180621956	180642708	-	Tcfl5	ENSMUSG00000038932
3	93442330	93449077	+	Tchh	ENSMUSG00000052415
3	93468754	93471980	+	Tchhl1	ENSMUSG00000027908
5	114707760	114722327	+	Tchp	ENSMUSG00000002486
8	24437180	24438984	-	Tcim	ENSMUSG00000056313
19	3896050	3907133	-	Tcirg1	ENSMUSG00000001750
12	105159690	105166625	+	Tcl1b1	ENSMUSG00000066359
12	105146014	105155225	+	Tcl1b2	ENSMUSG00000060863
12	105191043	105195612	+	Tcl1b3	ENSMUSG00000068940
12	105201957	105206993	+	Tcl1b4	ENSMUSG00000079007
12	105176344	105181145	+	Tcl1b5	ENSMUSG00000000701
12	105216750	105222793	-	Tcl1	ENSMUSG00000041359
11	3917192	3932159	-	Tcn2	ENSMUSG00000020432
18	60813755	60848971	-	Tcof1	ENSMUSG00000024613
17	7324646	7345974	+	Tcp10a	ENSMUSG00000071322
17	13061104	13082481	+	Tcp10b	ENSMUSG00000055602
17	13354572	13377223	+	Tcp10c	ENSMUSG00000052469
17	28066745	28080639	-	Tcp11	ENSMUSG00000062859
2	104657288	104712169	-	Tcp11l1	ENSMUSG00000027175
10	84576626	84614359	+	Tcp11l2	ENSMUSG00000020034
X	135654698	135693790	-	Tcp11x2	ENSMUSG00000058252
17	12915701	12925067	+	Tcp1	ENSMUSG00000068039
4	68301246	68303290	-	Tcp1-ps1	ENSMUSG00000081231
13	19214103	19217024	+	Tcrg-C1	ENSMUSG00000076749
13	19304649	19307551	-	Tcrg-C2	ENSMUSG00000076752
13	19260884	19263528	+	Tcrg-C3	ENSMUSG00000091682
13	19344558	19352756	+	Tcrg-C4	ENSMUSG00000076757
13	19339989	19340454	+	Tcrg-V1	ENSMUSG00000076755
13	19242845	19243301	+	Tcrg-V3	ENSMUSG00000076750
13	19184974	19185506	+	Tcrg-V4	ENSMUSG00000076745
13	19192278	19192725	+	Tcrg-V5	ENSMUSG00000076747
13	19190356	19190929	+	Tcrg-V6	ENSMUSG00000076746
13	19178024	19178492	+	Tcrg-V7	ENSMUSG00000076744
13	119893388	119894785	-	Tcstv1	ENSMUSG00000096284
13	120316878	120318178	+	Tcstv3	ENSMUSG00000095821
9	108302958	108306160	-	Tcta	ENSMUSG00000039461
17	45523434	45542680	+	Tcte1	ENSMUSG00000023949
17	13712444	13761825	-	Tcte2	ENSMUSG00000038347
17	15027152	15041488	-	Tcte3	ENSMUSG00000079707
